mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_auc,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_auc,std_train_accuracy,std_train_precision,std_train_recall,std_train_auc,std_test_accuracy,std_test_precision,std_test_recall,std_test_auc,CV folds,random seed,test size,classifier name,dim reducer,dim reduced to,classifier params,raw,stats features,bands features,channels
1.0,1.0,1.0,1.0,0.5625,0.5,0.375,0.375,0.0,0.0,0.0,0.0,0.36975498644372606,0.5,0.414578098794425,0.414578098794425,5.0,24.0,0.2,RandomForestClassifier,None,-1,None,Yes,no,no,all
1.0,1.0,1.0,1.0,0.5625,0.4791666666666666,0.5,0.4375,0.0,0.0,0.0,0.0,0.2072890493972125,0.4034357652299392,0.4330127018922193,0.2724311839712921,5.0,24.0,0.2,RandomForestClassifier,PCA,100,None,Yes,no,no,all
1.0,1.0,1.0,1.0,0.3125,0.25,0.125,0.4375,0.0,0.0,0.0,0.0,0.2997394702070449,0.4330127018922193,0.21650635094610965,0.3903123748998999,5.0,24.0,0.2,AdaBoostClassifier,None,-1,None,Yes,no,no,all
1.0,1.0,1.0,1.0,0.5,0.375,0.5,0.4375,0.0,0.0,0.0,0.0,0.0,0.21650635094610965,0.3535533905932738,0.2724311839712921,5.0,24.0,0.2,AdaBoostClassifier,PCA,100,None,Yes,no,no,all
1.0,1.0,1.0,1.0,0.5625,0.625,0.5,0.625,0.0,0.0,0.0,0.0,0.36975498644372606,0.414578098794425,0.3535533905932738,0.414578098794425,5.0,24.0,0.2,ExtraTreesClassifier,None,-1,None,Yes,no,no,all
1.0,1.0,1.0,1.0,0.4375,0.4375,0.375,0.59375,0.0,0.0,0.0,0.0,0.2420614591379636,0.3903123748998999,0.33071891388307384,0.2981060004427955,5.0,24.0,0.2,ExtraTreesClassifier,PCA,100,None,Yes,no,no,all
1.0,1.0,1.0,1.0,0.375,0.5,0.25,0.3125,0.0,0.0,0.0,0.0,0.375,0.5,0.25,0.3247595264191645,5.0,24.0,0.2,GradientBoostingClassifier,None,-1,None,Yes,no,no,all
1.0,1.0,1.0,1.0,0.625,0.625,0.625,0.59375,0.0,0.0,0.0,0.0,0.1767766952966369,0.33071891388307384,0.33071891388307384,0.16237976320958225,5.0,24.0,0.2,GradientBoostingClassifier,PCA,100,None,Yes,no,no,all
1.0,1.0,1.0,1.0,0.3125,0.375,0.25,0.25,0.0,0.0,0.0,0.0,0.3247595264191645,0.414578098794425,0.25,0.30618621784789724,5.0,24.0,0.2,XGBClassifier,None,-1,None,Yes,no,no,all
0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9944444444444444,0.375,0.25,0.375,0.4375,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.011111111111111072,0.1767766952966369,0.25,0.414578098794425,0.2724311839712921,5.0,24.0,0.2,XGBClassifier,PCA,100,None,Yes,no,no,all
